start1,special,text,You open your eyes and find yourself lying in a bed of flowers.,,,
start2,special,text,You blink a few times.,,,
start3,special,text,Looking up|| you see a tall building looming over you. Two stories up|| you see a broken window.,,,
start4,special,text,That's right|| you fell from there.,,,
choice1,room,choice1a1,choice1b1,Continue laying here,Get up,You wonder what you should do next.
choice1a1,special,text,You decide to just lay there. You hear distant K-CHUNKs slowly getting louder.,,,
choice1a2,special,jump,acceptance1ending1,,,
consequences,special,end,It begins again.,,,
choice1b1,special,text,You force yourself to sit up while avoiding broken glass as you do so.,,,
choice1b2,special,text,You look around|| praying silently that your attacker doesn't jump out the window after you.,,,
choice1b3,special,text,To your relief|| it doesn't come out after you.,,,
choice1b4,special,text,On your left is the pathway to the back entrance. On your right is debris. There's always the front door.,,,
choice2,room,choice2a1,choice2b1,Go left,Go in the front,Now|| which way to go?
choice2a1,special,text,You head down the path towards the back of the building. Every few steps you stop and listen|| just in case you are being followed.,,,
choice2a2,special,text,K-chunk.,,,
choice2a3,special,text,If you still had a heart|| it would be racing. You start running. Maybe you can get to the door before it catches you.,,,
choice2a4,special,text,You glance over your shoulder and see a strange dog-like robot hurdling toward you. You yank on the door handle.,,,
choice3,room,choice4,run1ending1,Try the door again,Run,It's locked.
choice4,room,choice4a1,run1ending1,Try the door again,Run,It doesn't budge. Did you hear click|| though?
choice4a1,special,text,You try the door one last time|| and it opens. You dash inside and slam the door shut.,,,
choice4a2,special,text,You hear a loud THUNK as the robot hits the sturdy metal door.,,,
choice4a3,special,text,You lock the door and pull on the handle to make sure it's properly secured.,,,
choice4a4,special,text,The thought of facing that robot again makes your skin crawl. Or it would|| if you had skin.,,,
choice5,room,choice5a1,choice5b1,Look for a weapon,Look for Carey,The question is|| what to do next?
choice5a1,special,text,You laugh. "Where do you think you are going to find a weapon in a LAB!",,,
choice5a2,special,text,With Carey being so paranoid about AIO invading|| maybe there is something you can defend yourself with.,,,
choice5a3,special,text,You start checking each room for anything that you might be able to use as a weapon.,,,
choice5a4,special,text,Peering into one room|| you notice something odd: an early model of an android laying on a table.,,,
choice6,room,choice6a1,choice6b1,Investigate,Continue your search,To investigate or leave and continue your search?
choice6a1,special,text,You slowly enter the room|| checking every corner for threats.,,,
choice6a2,special,text,But you are alone.,,,
choice6a3,special,text,Painful memories surge to the surface as you examine the android.,,,
choice6a4,special,text,It’s not that much different from the model you call home|| except for the fact it’s missing a SCore.,,,
choice6a5,special,text,Or maybe it would be better to call your current body what it is: a prison.,,,
choice7,room,run1ending1,choice7b1,Run,Freeze,Interrupting your thoughts is a thud.
run1ending1,special,text,You try to run|| but the robot is faster than you. You close your eyes and accept the inevitable.,,,
run1ending2,special,jump,consequences,,,
choice7b1,special,text,You pray that whatever made that sound doesn’t see you.,,,
choice7b2,special,text,To your dismay|| the robot moves itself beside you.,,,
choice7b3,special,text,You can’t tell what model it is.,,,
choice7b4,special,text,A strange noise emanates from deep within the robot.,,,
choice8,room,choice8a1,choice8b1,"I don't want to die.","Will it be quick?","Stop running. You are delaying the inevitable."
choice8a1,special,text,The robot whirrs. "My scan indicates you are lying.",,,
choice8a2,special,text,And it was right.,,,
